Strategy,Training_Time,Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC
ADASYN_Tuned,0.35s,0.2978723404255319,0.29347826086956524,0.9642857142857143,0.015151515151515152,0.45,0.4642857142857143
SMOTE_Tuned,0.33s,0.3404255319148936,0.2976190476190476,0.8928571428571429,0.10606060606060606,0.44642857142857145,0.4420995670995671
BorderlineSMOTE_Tuned,0.31s,0.2978723404255319,0.28888888888888886,0.9285714285714286,0.030303030303030304,0.4406779661016949,0.48809523809523814
Baseline_Tuned,0.34s,0.6914893617021277,0.0,0.0,0.9848484848484849,0.0,0.47186147186147187
