Strategy,Training_Time,Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC
ADASYN,0.17s,0.44680851063829785,0.21428571428571427,0.32142857142857145,0.5,0.2571428571428571,0.39556277056277056
BorderlineSMOTE,0.15s,0.46808510638297873,0.21052631578947367,0.2857142857142857,0.5454545454545454,0.24242424242424243,0.4069264069264069
SMOTE,0.17s,0.46808510638297873,0.19444444444444445,0.25,0.5606060606060606,0.21875,0.4058441558441558
SMOTE_Tomek,0.18s,0.46808510638297873,0.19444444444444445,0.25,0.5606060606060606,0.21875,0.40584415584415584
Baseline_Balanced,0.15s,0.44680851063829785,0.14705882352941177,0.17857142857142858,0.5606060606060606,0.16129032258064516,0.37445887445887444
